ident,             JDTDB,                      X,                      Y,                      Z,              VX (km/s),              VY (km/s),              VZ (km/s),         mass (kg), radius (km), color1, color2, color3, texture,
       Sun, 2451866.500000000, -7.458615060052568E+05, -7.086141541709184E+05,  2.434688872636642E+04,  1.359374835740099E-02, -7.786179287109707E-03, -2.943289475127709E-04, 1.988544E+30,   6.963E+05,    253,    184,     19, 9,
   Mercury, 2451866.500000000, -4.517293578327334E+07,  2.576497550068034E+07,  6.264649605883030E+06, -3.490664702205980E+01, -3.980933916140420E+01, -4.660091449030546E-02,   3.302E+23,        2440,    219,    206,    202, 1,
     Venus, 2451866.500000000,  9.909105902164924E+07, -4.366129130154074E+07, -6.325348095597714E+06,  1.365820724498068E+01,  3.201160699107672E+01, -3.502305803944594E-01,  48.685E+23,      6051.8,    139,    125,    130, 2,
     Earth, 2451866.500000000,  8.205762751046057E+07,  1.218011454395286E+08,  2.378480782674998E+04, -2.514405665688727E+01,  1.657074397883348E+01, -1.323517362623150E-03, 5.97219E+24,     6371.01,      0,    119,    190, 3,
      Moon, 2451866.500000000,  8.178469193957016E+07,  1.220507552334991E+08,  4.080741083999723E+04, -2.587331023437149E+01,  1.580927929813006E+01,  8.128898826473030E-02,   7.349E+22,      1738.0,    214,    213,    192, 0,
      Mars, 2451866.500000000, -2.383247039999010E+08,  7.366690583371690E+07,  7.421703803013884E+06, -6.313886052660593E+00, -2.106319795212671E+01, -2.858320267129830E-01, 6.4185E+23,      3389.9,    114,     81,     48, 4,
   Jupiter, 2451866.500000000,  3.144994177694016E+08,  6.830172697590714E+08, -9.871804295091152E+06, -1.202982864776125E+01,  6.087266916217894E+00,  2.440248660455286E-01,  898.13E+24,       69911,    165,    145,    134, 5,
    Saturn, 2451866.500000000,  7.334359758518109E+08,  1.148368555743734E+09, -4.916633433454669E+07, -8.647961788437151E+00,  5.180052186729605E+00,  2.533371030007183E-01, 5.68319E+26,       58232,    227,    224,    192, 6,
    Uranus, 2451866.500000000,  2.282718652399740E+09, -1.922967035271948E+09, -3.672087904811978E+07,  4.337579816019148E+00,  4.891419430500989E+00, -3.809138765018538E-02, 86.8103E+24,       25362,    225,    238,    238, 7,
   Neptune, 2451866.500000000,  2.636857079506151E+09, -3.651947383257841E+09,  1.443599318342543E+07,  4.371921158058286E+00,  3.212882559333475E+00, -1.675040968494748E-01, 102.41E+24,       24624,    115,    172,    172, 8,
     Pluto, 2451866.500000000, -1.331679949686997E+09, -4.254987307930320E+09,  8.405074096760093E+08,  5.293995497352054E+00, -2.526447433015523E+00, -1.270586659301160E+00,  1.307E+22,        1195,    246,    221,    189, 0,
     Bennu, 2451866.500000000,  1.516015200677994E+08, -4.191944819543569E+07, -4.931513686473252E+06,  2.113842210264089E+00,  2.967250679356081E+01,  3.121818672458366E+00,      78E+9,         0.2,    128,    128,    128, 0,